,Bug ID,Duplicate_Bug_Ids,Average_Cos_Similarity_Trigram,Summary1,description1,summary2,description2,is_similar
105,577472.0,558782.0,0.007001671991563898,"['Dark Theme resets the Text Editor ""foreground color"", ignoring preference settings']",['to reproduce    open a file in the basic text editor      go to preferences   general   editor   text editors  change the  foreground color   apply and close      see color changed in editor    move focus to another widget or window      expected  text color remains the same      got  text color modified   a stacktrace to explain that change is     thread  main       styledtext setforeground  line      cssswtcolorhelper setforeground  line      csspropertytextswthandler applycsspropertycolor  line      csspropertytextswthandler  applycssproperty  line      csspropertytextswthandler applycssproperty  line      cssswtengineimpl  applycssproperty  line      cssswtengineimpl  applystyledeclaration  line      cssswtengineimpl  applystyles  line      cssswtengineimpl  applystyles  line        accept  line  not available   abstractcssengine lambda    line        accept  line  not available   foreachops foreachop ofref t  accept  line      referencepipeline     accept  line      spliterators arrayspliterator t  foreachremaining  line      referencepipeline    copyinto  line      referencepipeline    wrapandcopyinto  line      foreachops foreachop ofref t   evaluatesequential  line      foreachops foreachop ofref t  evaluatesequential  line      referencepipeline    evaluate  line      referencepipeline    foreach  line      cssswtengineimpl  processnodelist  line      cssswtengineimpl  applystyles  line      cssswtengineimpl  applystyles  line        accept  line  not available   abstractcssengine lambda    line        accept  line  not available   foreachops foreachop ofref t  accept  line      referencepipeline     accept  line      spliterators arrayspliterator t  foreachremaining  line      referencepipeline    copyinto  line      referencepipeline    wrapandcopyinto  line      foreachops foreachop ofref t   evaluatesequential  line      foreachops foreachop ofref t  evaluatesequential  line      referencepipeline    evaluate  line      referencepipeline    foreach  line      cssswtengineimpl  processnodelist  line      cssswtengineimpl  applystyles  line      cssswtengineimpl  applystyles  line        accept  line  not available   abstractcssengine lambda    line        accept  line  not available   foreachops foreachop ofref t  accept  line      referencepipeline     accept  line      spliterators arrayspliterator t  foreachremaining  line      referencepipeline    copyinto  line      referencepipeline    wrapandcopyinto  line      foreachops foreachop ofref t   evaluatesequential  line      foreachops foreachop ofref t  evaluatesequential  line      referencepipeline    evaluate  line      referencepipeline    foreach  line      cssswtengineimpl  processnodelist  line      cssswtengineimpl  applystyles  line      cssswtengineimpl  applystyles  line        accept  line  not available   abstractcssengine lambda    line        accept  line  not available   foreachops foreachop ofref t  accept  line      referencepipeline     accept  line      spliterators arrayspliterator t  foreachremaining  line      referencepipeline    copyinto  line      referencepipeline    wrapandcopyinto  line      foreachops foreachop ofref t   evaluatesequential  line      foreachops foreachop ofref t  evaluatesequential  line      referencepipeline    evaluate  line      referencepipeline    foreach  line      cssswtengineimpl  processnodelist  line      cssswtengineimpl  applystyles  line      cssswtengineimpl  applystyles  line        accept  line  not available   abstractcssengine lambda    line        accept  line  not available   foreachops foreachop ofref t  accept  line      referencepipeline     accept  line      spliterators arrayspliterator t  foreachremaining  line      referencepipeline    copyinto  line      referencepipeline    wrapandcopyinto  line      foreachops foreachop ofref t   evaluatesequential  line      foreachops foreachop ofref t  evaluatesequential  line      referencepipeline    evaluate  line      referencepipeline    foreach  line      cssswtengineimpl  processnodelist  line      cssswtengineimpl  applystyles  line      cssswtengineimpl  applystyles  line        accept  line  not available   cssswtengineimpl  processnodelist  line      cssswtengineimpl  applystyles  line      cssswtengineimpl  applystyles  line      themeengine applystyles  line      partrenderingengine   setclassnameandid  line      wbwrenderer  setcssinfo  line      wbwrenderer updatenonfocusstate  line            '],['[regression] setting background color for text editor not applied with dark themes'],['versions  macos catalina        openjdk version               openjdk runtime environment adoptopenjdk   openjdk   bit server vm adoptopenjdk    eclipse      up to date as of            utc  build id       eclipse for java developers      setting the background color for text editors   only takes effect between the time one clicks apply  and closes the window  uppon closing the window  the gutter behind the line numbers remains the correct color  but the background of the text area returns to rgb   which occurs nowhere in my exported settings epf  the background color in said settings epf appears to be correct       instance org eclipse ui editors abstracttexteditor color background          main appearance is set to dark linux  but appeared to occur when set to  dark  as well as  dark  windows    asside  i previously started using  dark  linux   because macos detection from version to version occasionally removes the  dark  option   preferences recorder is disabled  so i cannot think of anything else that would suddenly change the appearance after closing the preferences window after applying the color   this issue also occurs on build        let me know if there is anything i can test or output debug log etc i can provide to help   thanks '],1
106,510153.0,510751.0,0.010481001325531295,['Fix test report labels'],['the test results labels are misleading  need to fix that to     unit       unit    '],['Update linux test results page with GTK version used'],['rename test results header to     and     for linux platforms'],1
108,510216.0,561917.0,0.012460774426984117,['Replace com.ibm.icu with com.ibm.icu.text in Eclipse 4 RCP template'],['    this bug was initially created as a clone of bug         com ibm icu is a huge bundle with more than   mb  we should prefer the com ibm icu base bundle in our example product '],['Remove com.ibm.icu from Eclipse 4 RCP template'],['pmc decided that we should move away from com ibm icu text if possible  see    for this we should remove com ibm icu from the rcp template  this will also require to remove the databinding plug ins from it   as they use ibu icu in their api '],1
110,510543.0,510391.0,0.01447848179276886,['Minor typos in SettingsContainer.js'],['settingscontainer js line   has a todo to fix up  platform styles  for nls  the string is available in messages containerthemes in settings nls root messages js   not currently used  but might as well fix typo in id  conatinerthemesettings  on line   '],['[theme] Unify Orion Editor and Platform theme settings'],['created attachment   editor   ide dropdown menu  unify the orion settings pages for  editor styles  and  platform styles  '],1
113,511244.0,511122.0,0.006644222045304945,['Invalid arguments constructing std::pair'],['using master as of today    i don t have a completely stand alone sample code  but here is the current reduced version i have    include  utility  template typename  key  typename  tp  class map   public   typedef std  pair const  key   tp  value type      class typea      class typeb       void bar     typea key   typeb val   map typea  typeb   value type mypair       this gives me   invalid arguments   candidates are   pair   pair   pair   pair   pair   pair   pair   pair   pair   pair   pair   pair        std  tuple            pair          std  tuple             std   index tuple unsigned long int             std   index tuple unsigned long int              '],['Invalid arguments using std::swap with a union'],['using master as of today    sample code    include  utility   union someunion    double real    bool bool    char  string       void foo     someunion t   someunion u   std  swap       this gives me  invalid arguments   candidates are  void swap  std  enable if     value   std    and      std  is move constructible        std  is move assignable        value   std    and      std  is move constructible        std  is move assignable      void   type swap  std  enable if     value   std    is swappable        value   std    is swappable      void   type swap      but this compiles correctly with gcc      '],1
115,511532.0,511366.0,0.007889213767140399,['Update org.eclipse.jface.preference.images/pref_dialog_title.png with real alpha value'],['pref dialog title png should be updated to use alpha '],['Default Wizard image looks bad on dark background'],['    this bug was initially created as a clone of bug         similar to bug    we should update the image for wizard    class wizard  image   public static final string default image    org eclipse jface wizard wizard pageimage     non nls   '],1
116,511669.0,511670.0,0.01299347999312171,['Add the functionality to load additional customized modules from a different root'],['using this patch  programmers can require modules which are located at any place  and those modules will share the same node modules '],['Add the functionality to load additional customized modules from a different root'],['using this patch  programmers can require modules which are located at any place  and those modules will share the same node modules '],1
117,511704.0,537350.0,0.012620579742170112,['[otdre] callin for PDELaunchingAdaptor.Launcher.prepareLaunch does not fire'],['i see the team activated  teammanager getteamsandcallinids  is called  but it finds nothing for the given joinpointid '],"[""[otdre] Callin bindings don't fire when overriding method is invoked""]",['when working with a org eclipse pde ui launcher pluginjunitmaintab  methods initializefrom  and performapply  should be affected by callin bindings in org eclipse objectteams otdt internal debug adaptor launching pdelaunchingadaptor maintab   however  in an otdre setting i don t see these callins fire  only if i   add super calls in the overrides  the callin correctly fires   sounds like bad interaction between otdre and ot equinox '],1
118,512015.0,510111.0,0.010226434229275145,['[inference] Unable to infer lambda return type'],['both statements   and   can be compiled with oracle java        but eclipse fails on   with  type mismatch  cannot convert from string to comparable   super comparable   super u          list string  items   new arraylist         collections sort             collections sort               '],['[compiler][inference] Type mismatch on lambda with wildcards'],['the code below compiles fine with oracle jdk buts fails to compile in eclipse  i m pretty sure this is a duplicate of one of the    open type inference bugs that are already filed but it s hard to tell       bit linux   jdk        eclipse version  neon   release   build id                                                       import java util arraylist  import java util collections  import java util comparator  import java util list   public class test            public static final class entity                    public int getindex                            return                                         public static void main                     final list entity  list   new arraylist                        eclipse fails to compile the next line with error                    type mismatch  cannot convert from int to comparable   super comparable   super u                   collections sort                                                                  '],1
122,512484.0,512408.0,0.013195225903181841,['Stale query results from bugzilla'],['since at least yesterday i get outdated results for all my bugzilla queries  for example  this query for open issies for sirius        bug status unconfirmed bug status new bug status assigned bug status reopened classification modeling list id   product sirius query format advanced target milestone        finds several tickets which should not be there      bug cgi id   has changed target milestone        bug cgi id   has been resolved fixed yesterday '],['Bugzilla search does not find latest changes'],['search for bugs that i ve commented on in the past   days        no results  but it should find at least bug      bug cgi id    '],1
123,512635.0,512628.0,0.009360562302234707,['Existance of multiple ROS Managers for callbacks'],['there are   implementations for similar callback handlers class croslayer  crosmanager and class crosactionmanager'],['Two similar Callbackhandlers for ROS topics and ROS Actions exist'],['refactor and combine the ros manager for topics and actions  croslayer  crosmanager and crosactionmanager'],1
129,513104.0,513105.0,0.006876023075339845,['NPE in BuiltinOperators.<init> due to CPPTemplateNonTypeArgument.getNonTypeValue() passing null to ICPPEvaluation.getValue()'],['here is the call stack of the npe   builtinoperators  init   line      builtinoperators create  line      cppsemantics findoverloadedoperator  line      cppsemantics findoverloadedbinaryoperator  line      evalbinary computeoverload  line      evalbinary getoverload  line      evalbinary gettype  line      cpptemplates instantiatetype  line      cpptemplates instantiateargument  line      templateargumentdeduction verifydeduction  line      templateargumentdeduction deducefromfunctionargs  line      templateargumentdeduction deduceforfunctioncall  line      cpptemplates instantiateforfunctioncall  line      cpptemplates instantiateforfunctioncall  line      cppsemantics resolvefunction  line      evalfunctionset resolvefunction  line      evalfunctioncall instantiate  line      cpptemplates instantiatetype  line      cpptemplates createspecialization  line      cppclassinstance  specializemember  line      cppclassspecializationscope  getbindings  line      cppsemantics getbindingsfromscope  line      cppsemantics lookup  line      cppsemantics resolveunknownname  line      cpptemplates resolveunknownmember  line      cpptemplates resolveunknown  line      cpptemplates instantiatetype  line      cppclassspecializationscope  getbases  line      cppclassinstance  getbases  line      classtypehelper getbases  line      baseclasslookup lookupinbaseclass  line      baseclasslookup lookupinbaseclass  line      baseclasslookup lookupinbaseclass  line      baseclasslookup lookupinbaseclasses  line      cppsemantics lookup  line      evalid resolvename  line      evalid instantiate  line      evalbinary instantiate  line      evalconditional instantiate  line      execreturn instantiate  line      execcompoundstatement instantiate  line      cpptemplates instantiatefunctionbody  line      cppfunctioninstance  getfunctionbodyexecution  line      cppfunction getfunctionbodyexecution  line      evalfunctioncall evaluatefunctionbody  line      evalfunctioncall getvalue  line      cpptemplatenontypeargument getnontypevalue  line          null point originates here                                             asttypeutil appendargument  line      asttypeutil appendargumentlist  line      asttypeutil getargumentliststring  line      indexcppsignatureutil gettemplateargstring  line      pdominstancecache getinstance  line      pdomcppclasstemplate getinstance  line      cpptemplates getinstance  line      cpptemplates instantiate  line      cpptemplates instantiate  line      cpptemplates resolvedeferredclassinstance  line      cpptemplates resolveunknown  line      cpptemplates instantiatetype  line      pdomcppclassspecializationscope  getbases  line      pdomcppclassinstance  getbases  line      classtypehelper getbases  line      classtypehelper getallbases  line      classtypehelper getallbases  line      classtypehelper getfields  line      compositevalue create  line      compositevalue create  line      execdeclarator createdefaultinitializedcompositevalue  line      execdeclarator createinitialvalue  line      execdeclarator executeforfunctioncall  line      evalutil getvariablevalue  line      evalbinding getvalue  line      evalunary getvalue  line      cpptemplatenontypeargument  init   line      cpptemplates createtemplateargumentarray  line      cpptemplates createbinding  line      cppasttemplateid createintermediatebinding  line      cppasttemplateid  resolveprebinding  line      cppastqualifiedname resolveprebinding  line      cppastambiguoustemplateargument  doresolveambiguity  line      cppastambiguoustemplateargument  resolveambiguity  line      cppastambiguityresolver visit  line      cppastambiguoustemplateargument  accept  line      cppasttemplateid accept  line      cppastqualifiedname accept  line      cppastnamedtypespecifier accept  line      cppastambiguityresolver visit  line      cppastfunctiondefinition accept  line      cppastcompositetypespecifier accept  line     cppastsimpledeclaration accept  line      cppastcompositetypespecifier accept  line      cppastsimpledeclaration accept  line      cppastnamespacedefinition accept  line      cppastnamespacedefinition accept  line      cppastnamespacedefinition accept  line      cppasttranslationunit  accept  line      cppasttranslationunit resolveambiguities  line      gnucppsourceparser  resolveambiguities  line      gnucppsourceparser  parse  line      gpplanguage  getasttranslationunit  line      pdomfastindexertask  createast  line      pdomfastindexertask  parsefile  line      pdomfastindexertask  parselinkage  line      pdomfastindexertask  runtask  line      pdomfastindexertask  run  line      pdomindexerjob run  line      worker run  line   '],['Need a reliable mechanism to propagate point of instantiation to all methods that need it'],['here is the call stack of the npe   builtinoperators  init   line      builtinoperators create  line      cppsemantics findoverloadedoperator  line      cppsemantics findoverloadedbinaryoperator  line      evalbinary computeoverload  line      evalbinary getoverload  line      evalbinary gettype  line      cpptemplates instantiatetype  line      cpptemplates instantiateargument  line      templateargumentdeduction verifydeduction  line      templateargumentdeduction deducefromfunctionargs  line      templateargumentdeduction deduceforfunctioncall  line      cpptemplates instantiateforfunctioncall  line      cpptemplates instantiateforfunctioncall  line      cppsemantics resolvefunction  line      evalfunctionset resolvefunction  line      evalfunctioncall instantiate  line      cpptemplates instantiatetype  line      cpptemplates createspecialization  line      cppclassinstance  specializemember  line      cppclassspecializationscope  getbindings  line      cppsemantics getbindingsfromscope  line      cppsemantics lookup  line      cppsemantics resolveunknownname  line      cpptemplates resolveunknownmember  line      cpptemplates resolveunknown  line      cpptemplates instantiatetype  line      cppclassspecializationscope  getbases  line      cppclassinstance  getbases  line      classtypehelper getbases  line      baseclasslookup lookupinbaseclass  line      baseclasslookup lookupinbaseclass  line      baseclasslookup lookupinbaseclass  line      baseclasslookup lookupinbaseclasses  line      cppsemantics lookup  line      evalid resolvename  line      evalid instantiate  line      evalbinary instantiate  line      evalconditional instantiate  line      execreturn instantiate  line      execcompoundstatement instantiate  line      cpptemplates instantiatefunctionbody  line      cppfunctioninstance  getfunctionbodyexecution  line      cppfunction getfunctionbodyexecution  line      evalfunctioncall evaluatefunctionbody  line      evalfunctioncall getvalue  line      cpptemplatenontypeargument getnontypevalue  line          null point originates here                                             asttypeutil appendargument  line      asttypeutil appendargumentlist  line      asttypeutil getargumentliststring  line      indexcppsignatureutil gettemplateargstring  line      pdominstancecache getinstance  line      pdomcppclasstemplate getinstance  line      cpptemplates getinstance  line      cpptemplates instantiate  line      cpptemplates instantiate  line      cpptemplates resolvedeferredclassinstance  line      cpptemplates resolveunknown  line      cpptemplates instantiatetype  line      pdomcppclassspecializationscope  getbases  line      pdomcppclassinstance  getbases  line      classtypehelper getbases  line      classtypehelper getallbases  line      classtypehelper getallbases  line      classtypehelper getfields  line      compositevalue create  line      compositevalue create  line      execdeclarator createdefaultinitializedcompositevalue  line      execdeclarator createinitialvalue  line      execdeclarator executeforfunctioncall  line      evalutil getvariablevalue  line      evalbinding getvalue  line      evalunary getvalue  line      cpptemplatenontypeargument  init   line      cpptemplates createtemplateargumentarray  line      cpptemplates createbinding  line      cppasttemplateid createintermediatebinding  line      cppasttemplateid  resolveprebinding  line      cppastqualifiedname resolveprebinding  line      cppastambiguoustemplateargument  doresolveambiguity  line      cppastambiguoustemplateargument  resolveambiguity  line      cppastambiguityresolver visit  line      cppastambiguoustemplateargument  accept  line      cppasttemplateid accept  line      cppastqualifiedname accept  line      cppastnamedtypespecifier accept  line      cppastambiguityresolver visit  line      cppastfunctiondefinition accept  line      cppastcompositetypespecifier accept  line     cppastsimpledeclaration accept  line      cppastcompositetypespecifier accept  line      cppastsimpledeclaration accept  line      cppastnamespacedefinition accept  line      cppastnamespacedefinition accept  line      cppastnamespacedefinition accept  line      cppasttranslationunit  accept  line      cppasttranslationunit resolveambiguities  line      gnucppsourceparser  resolveambiguities  line      gnucppsourceparser  parse  line      gpplanguage  getasttranslationunit  line      pdomfastindexertask  createast  line      pdomfastindexertask  parsefile  line      pdomfastindexertask  parselinkage  line      pdomfastindexertask  runtask  line      pdomfastindexertask  run  line      pdomindexerjob run  line      worker run  line   '],1
130,513197.0,516089.0,0.012441438676299547,['watch function blocks with adapters does not show any interface elements'],['when adding watch all of a function block with an adapter  a yellow function block is generated but its interface is missing  this also happens when only the adapter is marked to be watched '],['watch adapter results in empty adapter representation'],['when monitoring for an adapter is activated a yellow adapter function block is added to show the values  this yellow fb does not show any interface elements  therefore adapters can not be monitored '],1
132,513469.0,512922.0,0.0076667535086321365,['Add maven instructions to the download site'],['see   title lyo   oldid   using in maven'],['Update project website with the downloads'],['i also suggest adding maven instructions      '],1
133,513572.0,513573.0,0.01038786217596066,"[""[Electron] Orion shortcuts don't work when Orion Electron got focused""]",['select another application  then click orion let orion get focus  don t click any content  but try to use shortcuts now   nono of them will work '],"[""[Electron] Orion shortcuts don't work when Orion Electron got focused""]",['select another application  then click orion let orion get focus  don t click any content  but try to use shortcuts now   nono of them will work '],1
134,513639.0,538421.0,0.008701398489047734,['[null][correlation] False Positive in Null Analysis'],['following snippet gives a wrong positive in null analysis   public static void mainx      boolean b   xxxx  null    if        system out println       else      system out println          '],['[null][correlation] Implement correlation-aware null analysis'],['the current null analysis in ecj does not recognize a certain class of patterns where nullness of one variable could theoretically be inferred more precisely due to correlation to another variable   simple example      string m          string s   null        if            s    good            more stuff here       if            return s touppercase      expect no warning       return           our current implementation has a very compact representation of nullness information  consisting basically of   bits per variable    this fixed size representation is not able to capture any correlation information concerning an unknown number of other variables  hence in the above example at the marked location  ecj can only see that  s  can be either null or nonnull on some paths and it will raise a warning against the dereference   this rfe captures the request to implement a new null analysis that would capture correlation information in order to  understand  that examples like the above are indeed null safe   i m saying  new null analysis   because i don t believe that extending the current implementation to include correlation analysis is a viable strategy  aside from matters of code complexity  it should be kept in mind that the current analysis has been designed for small footprint    good enough to be invoked on every key stroke as you type in a java editor  the new null analysis will probably not fulfill this criterion   this could imply  that in addition to a new analysis  we d also need new infrastructure to invoke this analysis at selected points in time   i should mention that no one in the jdt team currently has the time to even start working on a detailed design of this feature  not to mention implement it  hence marking the rfe as helpwanted '],1
135,513678.0,513681.0,0.005436844204346777,['Unresolved name with a friend declaration in a namespace'],['test h        namespace ns    template  typename t  class a     friend void waldo       void waldo       confuser cpp               include  test h   ns  a int  a   void func      waldo      test cpp           include  test h   ns  a int  b   void test      ns  waldo      problem on ns  waldo  '],['Unresolved name with a friend declaration in a namespace'],['test h        namespace ns    template  typename t  class a     friend void waldo       void waldo       test cpp           include  test h   ns  a int  b   void test      ns  waldo      z cpp        include  test h   ns  a int  a   void func      waldo    '],1
136,513952.0,514250.0,0.011417307391621629,"['Preferences dialog - Change ""OK"" to ""Apply & Close""']",['i suggest to change ok in the windows    preferences dialog to  apply   close  '],"['WorkbenchPreferenceDialog should use verbs instead of ""OK""']",['i think we should relabel  ok  to  apply and close   this is much more descriptive than  ok     i used to feel unsure that  ok  does if i do not press  apply  before  as ok is not very descriptive '],1
137,514000.0,514257.0,0.008786206167675083,['No Marketplace entry in Help menu'],['created attachment   screenshot  version  oxygen release milestone     build id     '],['Marketplace client is missing in commiters-oxygen-M6 package due to uses constraint violation'],['   download and launch the eclipse committers oxygen   package on mac osx           marketplace client is missing from help   menu  supposedly due to following in     the error log    org osgi framework bundleexception  could not resolve module  org eclipse epp mpc core       unresolved requirement  require bundle  org eclipse userstorage oauth  bundle version                  resolution   optional    unresolved requirement  require bundle  org eclipse userstorage  bundle version                        bundle symbolicname  org eclipse userstorage  bundle version              singleton   true         org eclipse userstorage              no resolution report for the bundle   bundle was not resolved because of a uses contraint violation    org osgi service resolver resolutionexception  uses constraint violation  unable to resolve resource org eclipse userstorage  osgi identity  osgi identity  org eclipse userstorage   type  osgi bundle   version version              singleton   true   because it is exposed to package  org apache http  from resources org apache httpcomponents httpcore  osgi identity  osgi identity  org apache httpcomponents httpcore   type  osgi bundle   version version            and org apache httpcomponents httpcore  osgi identity  osgi identity  org apache httpcomponents httpcore   type  osgi bundle   version version              via two dependency chains   chain      org eclipse userstorage  osgi identity  osgi identity  org eclipse userstorage   type  osgi bundle   version version              singleton   true       require                    provide  osgi wiring bundle  org apache httpcomponents httpcore   org apache httpcomponents httpcore  osgi identity  osgi identity  org apache httpcomponents httpcore   type  osgi bundle   version version             chain      org eclipse userstorage  osgi identity  osgi identity  org eclipse userstorage   type  osgi bundle   version version              singleton   true       require                    provide  osgi wiring bundle  bundle version version            osgi wiring bundle  org apache httpcomponents httpclient    org apache httpcomponents httpclient  osgi identity  osgi identity  org apache httpcomponents httpclient   type  osgi bundle   version version                import                 export  osgi wiring package  org apache http protocol  uses  org apache http     export  osgi wiring package org apache http   org apache httpcomponents httpcore  osgi identity  osgi identity  org apache httpcomponents httpcore   type  osgi bundle   version version               at org eclipse osgi container module start   at org eclipse osgi container modulecontainer containerstartlevel incstartlevel   at org eclipse osgi container modulecontainer containerstartlevel incstartlevel   at org eclipse osgi container modulecontainer containerstartlevel docontainerstartlevel   at org eclipse osgi container modulecontainer containerstartlevel dispatchevent   at org eclipse osgi container modulecontainer containerstartlevel dispatchevent   at org eclipse osgi framework eventmgr eventmanager dispatchevent   at org eclipse osgi framework eventmgr eventmanager eventthread run '],1
138,514242.0,515147.0,0.01166743854387099,"['Make a Junit test case for ""type not found""']",['see   bug cgi id      a junit test case needs to be made to prevent such issue in future '],['Add test for bug 514186'],['      add test for bug   '],1
140,514589.0,513549.0,0.014233169513295469,['Links in top-ten emails are wrong'],['none of the aeri links in mails like   project issues dev   html seem to be working   at a closer look these links contain    aeri      problems which must be changed to    aeri     problems in order to work '],['email hyperlinks now go to home page'],['just received weekly reports  clicked on a report  went through new login page  didn t get to report  back to email  clicked on report goes to home page        stripping the detail aspect of the url        problems  '],1
144,515060.0,515052.0,0.009204620584787278,['Transform Ctrl+F8 into a filtered dialog'],['similarly to what done in bug    we should add a filter to switch between perspectives'],['Transform Ctrl+F7 into a filtered dialog'],['created attachment   image  the select view filtered dialog  ctrl     shares code with ctrl e    the main difference is that the second has a filtered list    i would like to change the ctrl     to be a search dialog with a filtered list   or to add a new command that shows the filtered list '],1
145,515149.0,521628.0,0.012537695609307837,['[ActivityDiagram][PostCondition] PostCondition are not display'],['when trying to display a postcondition in a diagram  drag   drop from model explorer is not possible and from the palette too '],"['[ActivityDiagram][LocalPostconditionConstraint] Incorrect creation of a constraint playing the role of a ""LocalPostconditionConstraint""']",['an action can have an associated constraint playing the role of a  localpostconditionconstraint   typically  this constraint is referenced by the localpostcondition property     in papyrus  when local post condition is created for an action from the palette then      the constraint representation does not show up      the constraint is always referenced by the  localprecondition  property     steps to reproduce      create an activity     create a broadcast signal action     create a  local postcondition constraint  from the palette '],1
147,515349.0,513597.0,0.011600561968674645,['Internal Error (NPE) wit Code analysis'],['following code will produce an internal error during code analysis  reproducable with neon   and oxygen    enum class eerror    async   success    struct cresultpair        eerror m main      eerror m subdevice       void setmain                m main   error            struct ccmdstate    constexpr unsigned char getstep  const      cresultpair updatetable     cresultpair hugi     ccmdstate state      eerror error   eerror  async       switch              default          if                              const auto res   updatetable               if                                 break                           else                       break                    no break        case                               return  error  eerror  success    '],['NPE in DestructorCollector.addDestructorCall()'],['i m getting an npe on the reconciler thread with the following stack trace   java lang nullpointerexception         at org eclipse cdt internal core dom parser cpp semantics destructorcallcollector destructorcollector adddestructorcall          at org eclipse cdt internal core dom parser cpp semantics destructorcallcollector localvariablesdestructorcollector visit          at org eclipse cdt internal core dom parser cpp cppastname accept          at org eclipse cdt internal core dom parser cpp cppastdeclarator accept          at org eclipse cdt internal core dom parser cpp cppastsimpledeclaration accept          at org eclipse cdt internal core dom parser cpp cppastdeclarationstatement accept          at org eclipse cdt internal core dom parser cpp cppastcompoundstatement accept          at org eclipse cdt internal core dom parser cpp semantics destructorcallcollector getlocalvariablesdestructorcalls          at org eclipse cdt internal core dom parser cpp cppastcompoundstatement getimplicitdestructornames          at org eclipse cdt internal core dom parser cpp cppastcompoundstatement accept          at org eclipse cdt internal core dom parser cpp cppastifstatement accept          at org eclipse cdt internal core dom parser cpp cppastcompoundstatement accept          at org eclipse cdt internal core dom parser cpp cppastifstatement accept          at org eclipse cdt codan core cxx cxxastutils isexitstatement          at org eclipse cdt codan internal checkers casebreakchecker switchfindingvisitor isbreakorexitstatement          at org eclipse cdt codan internal checkers casebreakchecker switchfindingvisitor isfallthroughstamement          at org eclipse cdt codan internal checkers casebreakchecker switchfindingvisitor isfallthroughstamement          at org eclipse cdt codan internal checkers casebreakchecker switchfindingvisitor visit          at org eclipse cdt internal core dom parser cpp cppastswitchstatement accept          at org eclipse cdt internal core dom parser cpp cppastcompoundstatement accept          at org eclipse cdt internal core dom parser cpp cppastfunctiondefinition accept          at org eclipse cdt internal core dom parser cpp cppastnamespacedefinition accept          at org eclipse cdt internal core dom parser asttranslationunit accept          at org eclipse cdt codan internal checkers casebreakchecker processast          at org eclipse cdt codan core cxx model abstractindexastchecker processmodel          at org eclipse cdt codan internal core codanrunner processresource          at org eclipse cdt codan internal core codanrunner runineditor          at org eclipse cdt codan internal core codanbuilder processresource          at org eclipse cdt codan core cxx internal model cxxcodanreconciler reconciledast          at org eclipse cdt codan internal ui cxx codancreconciler reconciled          at org eclipse cdt internal ui editor ceditor reconciled          at org eclipse cdt internal ui text creconcilingstrategy reconcile          at org eclipse cdt internal ui text creconcilingstrategy initialreconcile          at org eclipse cdt internal ui text compositereconcilingstrategy initialreconcile          at org eclipse cdt internal ui text ccompositereconcilingstrategy initialreconcile          at org eclipse jface text reconciler monoreconciler initialprocess          at org eclipse cdt internal ui text creconciler initialprocess          at org eclipse jface text reconciler abstractreconciler backgroundthread run '],1
